CityID,City,Latitude,Max Temperature,Humidity,Cloud Information,Wind Speed
0,holme,56.11,39.2,93,16,4.7
1,noumea,-22.28,82.99,69,100,3.36
2,hermanus,-34.42,68.0,86,0,8.9
3,wanaka,-44.7,66.99,40,100,5.99
4,shitanjing,39.23,25.0,50,33,4.0
5,ushuaia,-54.8,51.8,76,90,11.41
6,upernavik,72.79,-9.36,84,0,10.07
7,barrow,71.29,-29.2,73,1,5.82
8,pisco,-13.7,71.6,30,8,23.04
9,saint anthony,45.02,17.6,52,90,11.41
10,avarua,-21.21,82.4,78,78,17.22
11,bluff,-46.6,64.99,49,100,21.0
12,cabo san lucas,22.89,75.0,60,90,11.41
13,monrovia,6.3,78.8,94,40,7.49
14,grindavik,63.84,39.2,86,90,23.04
15,albany,42.6,46.0,93,90,4.7
16,khani,41.96,39.2,93,90,2.24
17,amahai,-3.33,87.01,76,100,4.99
18,mataura,-46.19,64.99,49,99,21.0
19,hobart,-42.88,60.8,54,40,12.75
20,clyde river,70.47,-22.0,67,20,17.22
21,callaguip,18.07,73.4,88,75,3.36
22,cockburn town,21.46,78.84,75,27,29.59
23,arraial do cabo,-22.97,84.2,74,62,6.93
24,tasiilaq,65.61,15.8,43,100,9.17
25,georgetown,5.41,78.8,94,20,1.12
26,rikitea,-23.12,76.42,83,17,19.35
27,ilulissat,69.22,-5.8,58,98,27.51
28,ketchikan,55.34,35.6,93,90,9.17
29,busselton,-33.65,72.0,32,0,13.4
30,port hardy,50.7,39.2,93,90,21.92
31,coquimbo,-29.95,64.4,77,20,11.41
32,jamestown,42.1,50.0,100,90,8.05
33,apple valley,34.5,66.0,12,1,5.82
34,santa barbara,34.42,64.99,51,1,3.36
35,samarai,-10.62,80.85,83,100,3.22
36,tamsweg,47.13,36.0,92,90,3.36
37,mahebourg,-20.41,73.4,88,20,7.07
38,hithadhoo,-0.6,81.81,78,100,13.98
39,puerto ayora,-0.74,86.0,58,20,18.34
40,yellowknife,62.46,-34.01,65,40,3.36
41,garissa,-0.45,78.12,75,38,8.46
42,fairbanks,64.84,-16.01,65,1,1.41
43,tura,25.52,54.99,84,0,4.05
44,chuy,-33.7,73.24,93,81,6.71
45,vaini,-21.2,84.2,74,75,9.17
46,sunyani,7.34,76.28,54,89,5.7
47,altamira,-3.2,73.54,97,20,4.23
48,kapaa,22.08,78.8,78,40,5.82
49,lebyazhye,55.27,2.14,93,100,11.07
50,palmer,42.16,50.0,81,90,19.46
51,kununurra,-15.77,82.4,78,75,8.05
52,los algarrobos,8.5,91.4,38,20,18.34
53,new norfolk,-42.78,62.01,50,40,12.75
54,ancud,-41.87,62.6,55,90,10.29
55,saint-pierre,-21.34,73.4,64,20,6.93
56,punta arenas,-53.15,50.0,87,90,9.17
57,katsuura,35.13,46.0,56,75,8.05
58,lodwar,3.12,84.16,38,2,5.5
59,dikson,73.51,5.11,94,100,14.81
60,valdivia,-39.81,69.8,52,75,6.93
61,torbay,47.67,19.0,66,75,12.75
62,jawhar,2.78,75.43,82,100,10.36
63,atuona,-9.8,81.34,73,13,18.1
64,saint-philippe,-21.36,73.4,64,20,6.93
65,kopychyntsi,49.1,30.99,97,100,7.29
66,hienghene,-20.68,80.01,79,100,14.5
